1,android tv box on sale,in good condition. works smoothly,"Kalika Nagar, Rupandehi (Butwal)",HB-F07E8E,1000,Used,0,8/25/2023
27,k tapai afno normal tv lai android banauna chahanu,dherai opauakta normal tv lai android banauna ko lagi,"Dhangadi, Dhangadi Sub Metropolitan, Dhanhadhi, Kailali, Sudurpashchim Pradesh, नेपाल",HB-769A31,2000,Like New,360,8/30/2022
10,Mxq Pro 4K Tv Box 2+16Gb Android Smart Tv Box,"Media Player with quad core processor with very high performance and low power consumption, ideal for multimedia content reproduction and TV system via web as an example among others thousands of possibilities that only the for Android platform can bring. Specifications: Support memory card: CF, security digital card, TF Output resolution: 1920x1080 Audio playback format: MP3, WMA, WAV, OGG, FLAC Support video formats: ASF, AVI, VOB, DAT, RM, RMVB, WMV Use environment: indoor Interface: USB RAM+",Nepal,HB-AE734A,2999,Brand New,66,6/20/2023
30,Hot X96Q Android 10.0 Smart TV BOX 2GB 16GB Allwin,Product details of Hot X96Q Android 10.0 Smart TV BOX 2GB 16GB Allwinner H313 Quad Core 4K VS X96 Mini Set Top Fast X96 Q Tv Box 1. OS: Android 10.0 (Latest 2020 Model) 2. CPU: Allwinner H313 Quad Core ARM Cor- tex A53 3. GPU: G31 OPenGL ES3.2 4. RAM: DDR3：2 GB 5. ROM: eMMC：16 GB 6. WiFi: YES IEEE 802.11 b/g/n 7. Feature: 4K (4096×2160 pixel ) HDR10 and HLG modes 3D video formats 8. Bluetooth: No 9. Mobile Cast Screen (Miracast): Yes,"naya sadak newroad, New Road, Kathmandu",HB-06BD39,3499,Brand New,396,7/25/2022
21,X96Q Android 10 Smart TV Box 2GB Ram 16GB Rom 4K W,OS: Android 10.0 (Latest 2020 Model) CPU: Allwinner H313 Quad Core ARM Cor- tex A53 GPU: G31 OPenGL ES3.2 RAM: DDR3：2GB ROM: eMMC 16GB Wi-Fi: YES IEEE 802.11 b/g/n Feature: 4K (4096×2160 pixel ) HDR10 and HLG modes 3D video formats Bluetooth: No Mobile Cast Screen (Miracast): Yes,"All Core Kathmandu, Kathmandu",HB-3D3542,4500,Brand New,217,1/20/2023
18,T95 Android 10 SmartTV Box 2GB RAM 16GB Android TV,"OS: ANDROID Internal Storage: 16 GB eMMC Ethernet: 100M Wireless: Yes Memory: 2 GB DDR3 Weight: 0.5ks IPTV: Yes OTA Update: Yes Power: DC 5V,2A Model Number: T95 System Upgrade: Yes Max. Extended Capacity: TF Card Up To 16GB Remote Control: Included OS: Android 10.0 optional: 2GB/16GB,4GB/32GB,4GB/64GB WIFI: 2.4Ghz 3D: Hardward 3D graphics acceleration LAN: Ethernet:Standard10/100M RJ-45 USB host: 2*USB2.0 decoding: 6K H.265 Hardware Video Decode and 6K Output other: 1080P/AV/3G support","Central Business Park, Thapathali Marg, Thapathali, Kathmandu, Bagmati Pradesh, 44617, Nepal",HB-6CD86E,5300,Brand New,156,3/22/2023
25,free tv settop box solid 8181 hevc 265,"SOLID HDS2X-8181 H.265 HEVC DVB-S2X FullHD Digital IT Box / Set-Top Box Support T2-MI Signals using Circular LNB Chipset - Montage 8051 FEATURES & FUNCTIONS 1-Support RJ45 ETHERNET LAN & EXTERNAL USB WiFi Antenna 2-Support Network Apps - You can connect to the Internet by using an external Wifi adapter and RJ45 ethernet network cable to access the Internet to enjoy YouTube, DLNA, and other Network applications. 3-Two high-speed USB 2.0 4-Fully Compliant with the DVB-S / DVB-S2 / DVB-S2",Lamatar,HB-391B0B,3500,Brand New,324,10/5/2022
26,G96 Max 4K Ultra HD Android TV Box,"CPU:Amlogic S905X4 Quad Core, ARM Cortex-A35 GPU:ARM Mali-G31 MP2 OS:Android 11 RAM:4GB DDR3 ROM:32GB eMMC 4K @ 60fps H.265 4K Hardware Decoding HDMI:2.0b WiFi:2.4GHz or 2.4G&5G Ethernet:1000Mb","bag bazar, BagBazar, Kathmandu",HB-EBD5B7,6400,Brand New,334,9/25/2022
29,X96 X4 Android 11 4GB Ram 64GB Rom Amlogic S905X4,"Android TV Box 11.0, X96X4 Android TV Box 4GB RAM 64GB ROM with Wireless Keyboard S905X4 Quad-Core 64bits, 1000M LAN Dual-WiFi 2.4G/5G Android Box with 8K/6K/3D/USB 3.0/BT 4.2 Warm Tips for Android TV Box: 1.1000M internet speed — This Android TV box supports 1000M LAN, which requires Gigabit cable, Gigabit router, Gigabit broadband package, one cannot be missing. 2.App Installation — If some Apps can't be found on Google Play Store, or because of copyright issues, downloading in Google Chrome","Thapathali Marg, Thapathali",HB-28D91D,6900,Brand New,379,8/11/2022
43,X96Q Android 10 Smart TV Box 4GB Ram 32GB Rom 4K W,OS: Android 10.0 (Latest 2020 Model) CPU: Allwinner H313 Quad Core ARM Cor- tex A53 GPU: G31 OPenGL ES3.2 RAM: DDR3：4GB ROM: eMMC 32GB Wi-Fi: YES IEEE 802.11 b/g/n Feature: 4K (4096×2160 pixel ) HDR10 and HLG modes 3D video formats Bluetooth: No Mobile Cast Screen (Miracast): Yes,"mahabuddha, New road, Kathmandu",HB-3003966,4500,Brand New,758,7/28/2021
